,cat_5,cat_8,cat_14,typeOfFacility_LIMITED FOOD SERVICE CONVENIENCE OTHER,typeOfFacility_NO FEE LICENSE K12 SCHOOLS NON PROFIT,typeOfFacility_RESTAURANT MORE THAN 200 SEATS,categoryOfFacility_FAST FOOD LIMITED MENU,healthScore,googleRating
474,1,0,0,0,0,0,0,4,Low
475,1,0,0,0,0,0,1,5,High
476,0,1,0,0,0,0,0,3,Low
477,1,1,0,0,0,0,0,3,High
478,1,1,0,0,0,0,0,4,High
479,1,1,1,0,0,0,1,4,Low
480,1,0,1,0,0,0,1,5,High
481,1,1,1,0,0,0,1,4,Low
482,0,1,1,0,0,0,1,5,High
483,1,0,0,0,0,0,1,4,Low
484,1,0,0,0,0,0,0,3,Low
485,0,0,0,0,0,1,0,5,Low
486,0,1,0,0,0,0,1,3,Low
487,0,1,0,0,0,0,0,3,Low
488,1,1,0,0,0,0,1,4,High
489,0,0,0,0,0,1,0,4,Low
490,0,1,0,0,0,0,0,4,Low
491,1,0,0,0,0,0,0,4,Low
492,1,0,0,1,0,0,1,5,Low
493,0,1,0,0,0,0,0,5,High
494,0,0,0,0,0,1,0,4,Low
495,1,0,1,0,0,0,0,5,Low
496,1,1,0,1,0,0,1,4,Low
497,1,1,1,0,0,0,0,3,Low
498,0,1,0,0,0,0,1,4,Low
499,1,1,0,0,0,0,0,4,Low
500,0,0,1,0,0,0,0,5,Low
501,0,1,0,0,0,0,1,4,Low
502,1,1,0,0,0,0,0,4,Low
503,1,0,1,0,0,0,1,4,Low
504,1,1,0,0,0,0,0,4,Low
505,1,0,0,0,0,1,0,4,Low
506,1,0,0,0,0,1,0,2,Low
507,1,1,1,0,0,0,0,3,Low
508,1,0,1,0,0,0,0,5,Low
509,1,1,0,0,0,0,1,4,Low
510,0,0,1,0,0,0,0,5,Low
511,0,1,0,0,0,0,1,4,Low
512,1,0,0,0,0,0,1,5,Low
513,1,1,0,0,0,0,0,3,Low
514,0,0,0,0,0,0,1,3,High
515,1,1,1,0,0,0,0,5,Low
516,0,0,0,0,0,0,1,5,Low
517,0,1,0,0,0,0,0,3,High
518,0,0,1,0,0,0,1,4,Low
519,0,0,0,0,0,0,0,4,Low
520,1,0,0,0,0,0,1,5,Low
521,1,0,0,0,0,0,1,5,Low
522,1,1,1,0,0,0,1,3,High
523,0,0,1,0,0,0,0,4,Low
524,1,1,0,0,0,0,1,5,Low
525,0,0,0,0,0,0,1,5,Low
526,0,0,0,0,0,0,0,4,Low
527,0,0,0,0,0,0,1,4,Low
528,0,1,1,0,0,0,1,4,Low
529,1,1,1,0,0,0,0,3,High
530,0,0,0,0,0,0,0,4,High
531,1,1,0,0,0,0,1,5,Low
532,0,0,0,0,0,0,1,5,Low
533,1,0,0,0,0,0,0,4,High
534,0,0,1,0,0,0,1,5,Low
535,0,0,0,0,0,0,1,4,Low
536,1,1,1,0,0,0,0,5,Low
537,1,1,0,0,0,0,0,4,Low
538,0,0,0,0,0,0,0,5,Low
539,0,1,0,0,0,0,1,5,Low
540,0,1,0,0,0,0,1,5,Low
541,0,0,0,0,0,0,1,4,High
542,1,0,0,0,0,0,0,4,Low
543,0,0,0,0,0,1,0,5,Low
544,1,1,0,0,0,0,1,3,Low
545,1,0,0,0,0,1,0,4,Low
546,0,1,0,0,0,0,0,5,Low
547,1,1,0,0,0,0,0,3,Low
548,1,0,1,0,0,0,0,3,Low
549,0,0,0,0,0,0,1,5,Low
550,0,0,0,0,0,0,1,5,Low
551,1,1,1,0,0,0,1,5,Low
552,0,0,0,0,0,0,1,5,Low
553,1,0,0,0,0,0,0,4,Low
554,1,0,1,1,0,0,1,5,Low
555,1,1,1,0,0,0,0,2,Low
556,1,0,0,0,0,0,1,5,Low
557,1,0,0,0,0,0,1,5,Low
558,1,1,1,1,0,0,1,5,Low
559,0,0,0,0,0,0,1,5,Low
560,0,1,0,0,0,0,0,4,Low
561,1,0,0,0,0,0,1,5,Low
562,0,1,1,1,0,0,1,5,Low
563,0,0,0,0,0,0,1,5,High
564,0,0,0,0,0,0,0,5,High
565,0,0,0,0,0,0,1,5,Low
566,0,0,0,0,0,0,0,3,Low
567,0,0,0,0,0,0,0,4,High
568,1,1,0,0,0,0,0,3,Low
569,1,1,0,0,0,0,1,3,Low
570,1,0,0,0,0,0,1,5,Low
571,1,0,1,1,0,0,1,5,Low
572,1,1,1,0,0,0,0,4,Low
573,1,1,1,0,0,0,0,3,Low
574,0,1,0,0,0,0,0,4,High
575,0,0,1,0,0,0,0,4,High
576,1,0,1,0,0,0,1,5,High
577,0,0,0,0,0,0,1,4,Low
578,0,0,0,0,0,0,0,5,Low
579,0,0,1,0,0,0,0,5,Low
580,0,0,0,0,0,0,0,2,Low
581,0,0,0,0,0,0,0,4,Low
582,0,1,0,0,0,0,1,4,High
583,0,0,0,0,0,0,1,5,Low
584,1,0,0,0,0,0,0,5,Low
585,1,1,1,1,0,0,1,3,High
586,1,0,0,1,0,0,1,5,Low
587,1,0,1,0,0,0,0,5,Low
588,0,0,1,0,0,0,1,5,Low
589,0,0,0,0,0,0,0,5,Low
590,1,0,0,0,0,0,0,5,High
591,1,1,0,0,0,0,0,4,Low
592,0,1,1,0,0,0,0,5,Low
593,0,1,0,0,0,0,0,4,Low
594,0,0,1,0,0,0,1,5,High
595,0,1,0,1,0,0,1,5,Low
596,1,1,0,1,0,0,1,5,High
597,1,0,0,1,0,0,0,4,Low
598,0,0,0,0,0,0,1,4,Low
599,1,0,0,1,0,0,1,5,Low
600,0,0,1,0,0,0,0,5,Low
601,1,1,0,0,0,0,0,4,Low
602,0,1,1,0,0,0,1,4,Low
603,0,0,0,0,0,0,0,4,Low
604,0,0,0,0,0,0,0,5,High
605,0,1,0,0,0,0,0,3,Low
606,1,1,0,0,0,0,0,3,Low
607,1,1,0,0,0,0,1,5,Low
608,0,0,0,0,0,0,1,4,Low
609,1,0,0,0,0,0,1,5,Low
610,1,1,1,0,0,0,0,3,High
611,0,0,0,0,0,0,1,5,Low
612,1,0,0,0,0,0,1,5,Low
613,1,1,1,0,0,0,0,4,Low
614,1,1,0,0,0,0,1,4,Low
615,0,0,1,0,0,0,1,5,Low
616,0,0,0,0,0,0,1,5,Low
617,1,1,1,0,0,0,0,4,Low
618,0,0,1,0,0,0,0,5,Low
619,1,0,0,0,0,0,1,3,Low
620,1,1,0,0,0,0,1,4,Low
621,0,1,0,0,0,0,0,5,Low
622,1,0,0,0,0,0,1,5,Low
623,1,0,0,0,0,0,0,5,Low
624,0,0,0,0,0,0,1,4,Low
625,1,1,1,0,0,0,0,3,Low
626,0,0,1,0,0,0,0,4,Low
627,1,1,0,0,0,0,0,3,High
628,0,1,1,0,0,0,1,5,Low
629,0,0,0,0,0,0,0,4,High
