facility_id,fc01,fc02,fc03,fc04,fc05,fc06,fc08,fc09,fc10,fc11,fc13,fc14,fc15,fc16,fc18,fc19,fc20,fc21,fc22,fc23,fc24,fc25,fc27,fc28,fc29,fc31,fc33,fc35,fc36,fc37,fc38,fc39,fc40,fc41,fc42,fc43,fc44,fc45,fc46,fc47,fc48,fc49,fc50,fc51,fc52,fc53,fc54,fc55,fc56,fc57
FA0000396,,1,,,1,1,,,1,,,,2,,,,,1,1,,,1,,,,,,,,,,2,,,,,,,,1,,,,,,,,1,,
FA0000399,,,,,,1,1,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,,,,,,,1,,1,,,,,,,
FA0000401,,,,,,1,1,,1,,,,2,1,,,,1,2,,,1,,1,,,1,,,1,,,,,,,,1,,2,1,,1,1,,,,2,,
FA0000402,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,1,,,,,,,,,,1,,,,,,,
FA0000406,,,,,,1,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,,,
FA0000407,,,,,,,,,1,,,,,1,,,,,1,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,
FA0000411,,1,,,,,,,2,,1,,1,,,,,,1,,,2,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,
FA0000414,,,1,,,2,,1,,,1,,,,,,,,2,,,,,2,,,,,,,,1,2,,,,,,,,,,1,,,,,,,
FA0000416,,,,,,2,1,,3,,2,,,,,,,1,3,,,1,,1,,,1,,,,,1,1,,,,,,,,,,2,,,,,,,
FA0000418,,,,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,
FA0000421,,,,,,1,1,1,2,,1,,,,,,,,3,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,
FA0000432,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,1,,,,,,
FA0000435,,2,1,,1,1,1,1,2,,,,1,,,,,,4,1,,,,2,,,2,,1,,,2,,,,,,1,,1,1,,1,2,,,,,1,
FA0000436,,,,,1,1,1,1,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,
FA0000442,,,,,,,,,,,1,,,,,,,,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,
FA0000443,,1,,,1,2,1,2,1,1,,,,,,,,,2,1,,,,1,,,1,,1,,,1,,,,,,,,,,,,1,,,,,,
FA0000445,,,1,,1,3,1,,3,,,,,,,,,1,4,,,1,,,,,1,1,1,,,1,1,,,,,,,,,,,4,,,,,,
FA0000447,,,1,,,,2,,,,,,,1,1,,,2,2,,,1,,1,,,2,,,,,,2,,,,,,,,1,1,1,,,,,1,,
FA0000449,,,1,,,1,1,2,2,,,,,1,,,,,1,,,,,1,,,1,,,,,,1,,,,1,,,1,1,,,,,,,,,
FA0000451,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
FA0000455,,,2,,,,1,,,,,,1,,,,,,1,,,1,,1,,,2,,,,1,,1,,,,,,,,,,,,,,,1,,
FA0000456,,,,,,,1,,,,,,1,,,,,,2,,,,,,,,1,,1,1,,,1,1,,,1,,,,,,,,,,,1,,
FA0000457,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
FA0000458,,2,,,2,,1,1,7,,1,,1,1,,,,1,3,1,,,,2,,,2,,1,,,3,1,,,,,,,,,,3,,2,,,,1,
FA0000462,,,1,,,1,,,2,,,,1,,,,,,2,,,,,,,,,,1,,,,,,,,,,,1,3,,1,1,,,,,1,
FA0000466,,1,,,1,2,,,2,,,,1,1,,,,,2,,,,,2,,,1,,1,,1,,1,,,,,1,,1,,1,,3,,,,1,,1
FA0000467,,,,,1,2,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
FA0000473,,,1,,,1,,,,,,,1,,,,,,1,,,1,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,
