city,facility_name,facility_name_plus,facility_id,rating,total_ratings,avg_inspection_score,avg_violations_count
LAFAYETTE,NOODLES & COMPANY #168,LAFAYETTE - NOODLES & COMPANY #168,FA0004641,3.5,614,7.33,1.5
LAFAYETTE,OFF CAMPUS CAFE,LAFAYETTE - OFF CAMPUS CAFE,FA0001645,4.4,262,59.74,5.0
LAFAYETTE,OTIS,LAFAYETTE - OTIS,FA0003872,4.6,300,19.71,2.333333333333333
LAFAYETTE,PANANG THAI,LAFAYETTE - PANANG THAI,FA0002442,4.3,439,25.75,4.0
LAFAYETTE,PHO CAFE,LAFAYETTE - PHO CAFE,FA0003510,4.6,746,40.00,4.0
LAFAYETTE,PROTOS PIZZA LAFAYETTE,LAFAYETTE - PROTOS PIZZA LAFAYETTE,FA0001335,4.5,246,35.33,5.0
LAFAYETTE,RAS KASSAS ETHIOPIAN,LAFAYETTE - RAS KASSAS ETHIOPIAN,FA0002758,4.6,583,42.43,4.666666666666667
LAFAYETTE,REELFISH FISH AND CHIPS,LAFAYETTE - REELFISH FISH AND CHIPS,FA0004647,4.4,729,15.00,1.5
LAFAYETTE,RUBY RUS,LAFAYETTE - RUBY RUS,FA0002157,4.8,72,13.40,1.5
LAFAYETTE,SANTIAGOS II MEXICAN RESTAURANT,LAFAYETTE - SANTIAGOS II MEXICAN RESTAURANT,FA0002331,4.4,1062,28.50,3.0
LAFAYETTE,SEBS PIZZAS (MOBILE),LAFAYETTE - SEBS PIZZAS (MOBILE),FA0005308,4.3,12,40.00,3.0
LAFAYETTE,SENOR GOMEZ,LAFAYETTE - SENOR GOMEZ,FA0001429,4.3,157,55.27,8.0
LAFAYETTE,SHIFU EXPRESS,LAFAYETTE - SHIFU EXPRESS,FA0001244,4.2,83,69.82,10.5
LAFAYETTE,SIMPLE GREEK #46 THE,LAFAYETTE - SIMPLE GREEK #46 THE,FA0005408,4.1,322,21.67,1.5
LAFAYETTE,SKY COFFEE,LAFAYETTE - SKY COFFEE,FA0002393,3.8,44,5.67,1.0
LAFAYETTE,SMASHBURGER,LAFAYETTE - SMASHBURGER,FA0002284,3.8,543,14.00,2.5
LAFAYETTE,SUBWAY,LAFAYETTE - SUBWAY,FA0001166,3.5,78,36.44,5.0
LAFAYETTE,SUBWAY EXEMPLA 33266,LAFAYETTE - SUBWAY EXEMPLA 33266,FA0002449,3.8,44,23.33,2.0
LAFAYETTE,SUSHI AJI,LAFAYETTE - SUSHI AJI,FA0001257,4.4,314,24.00,3.6666666666666665
LAFAYETTE,TACO BELL 3612,LAFAYETTE - TACO BELL 3612,FA0000845,2.7,568,16.00,2.0
LAFAYETTE,TACO WAGON,LAFAYETTE - TACO WAGON,FA0003821,4.4,205,31.93,2.5
LAFAYETTE,TANDOORI KITCHEN,LAFAYETTE - TANDOORI KITCHEN,FA0001585,4.7,378,70.08,5.8
LAFAYETTE,TANGERINE RESTAURANT,LAFAYETTE - TANGERINE RESTAURANT,FA0000725,4.3,757,36.42,6.0
LAFAYETTE,TAQUERIA ESPERANZA,LAFAYETTE - TAQUERIA ESPERANZA,FA0000925,4.2,310,58.73,5.666666666666667
LAFAYETTE,TEN PIN ALLEY,LAFAYETTE - TEN PIN ALLEY,FA0000879,4.0,720,40.33,6.5
LAFAYETTE,TEOCALLI COCINA,LAFAYETTE - TEOCALLI COCINA,FA0000251,4.6,914,86.22,7.666666666666667
LAFAYETTE,THE POST BREWING CO,LAFAYETTE - THE POST BREWING CO,FA0000951,4.4,1062,26.50,2.5
LAFAYETTE,TINGS PLACE,LAFAYETTE - TINGS PLACE,FA0003784,4.3,335,7.43,2.5
LAFAYETTE,TORTILLERIA LAS 5 AMERICAS,LAFAYETTE - TORTILLERIA LAS 5 AMERICAS,FA0003315,4.3,47,38.22,6.0
LAFAYETTE,UDON KAISHA,LAFAYETTE - UDON KAISHA,FA0000535,4.3,297,22.42,3.0
LAFAYETTE,VFW POST 1771,LAFAYETTE - VFW POST 1771,FA0004651,4.4,28,5.00,1.0
LAFAYETTE,VIET KITCHEN (AT ATLAS VALLEY),LAFAYETTE - VIET KITCHEN (AT ATLAS VALLEY),FA0001350,4.9,60,33.00,2.6666666666666665
LAFAYETTE,WENDYS 5201,LAFAYETTE - WENDYS 5201,FA0001090,3.9,724,7.00,1.0
LAFAYETTE,WILLIAM OLIVERS PUBLICK HOUSE,LAFAYETTE - WILLIAM OLIVERS PUBLICK HOUSE,FA0005062,4.5,910,22.00,3.0
LONGMONT,3 MARGARITAS,LONGMONT - 3 MARGARITAS,FA0000738,4.3,1553,59.11,4.5
LONGMONT,300 SUNS BREWING,LONGMONT - 300 SUNS BREWING,FA0004789,4.7,422,12.00,2.0
LONGMONT,3S BAR,LONGMONT - 3S BAR,FA0000673,3.7,178,15.00,3.5
LONGMONT,A THAI STICKY RICE,LONGMONT - A THAI STICKY RICE,FA0001126,4.8,64,33.15,6.333333333333333
LONGMONT,ABOS PIZZA LONGMONT,LONGMONT - ABOS PIZZA LONGMONT,FA0001641,4.1,299,10.00,1.0
LONGMONT,ABUELITAS EMPANADAS,LONGMONT - ABUELITAS EMPANADAS,FA0004866,4.5,28,45.69,5.333333333333333
LONGMONT,AFC SUSHI @ SAFEWAY #1116,LONGMONT - AFC SUSHI @ SAFEWAY #1116,FA0004907,3.9,1070,16.67,1.5
LONGMONT,AFC SUSHI @ SAFEWAY #2910,LONGMONT - AFC SUSHI @ SAFEWAY #2910,FA0004906,4.0,826,5.00,1.0
LONGMONT,AIMES LOVE,LONGMONT - AIMES LOVE,FA0004539,4.4,116,23.56,3.0
LONGMONT,ARBYS #5009030,LONGMONT - ARBYS #5009030,FA0000030,3.8,808,18.50,2.5
LONGMONT,AUNT ALICES KITCHEN,LONGMONT - AUNT ALICES KITCHEN,FA0000057,4.4,2079,30.64,3.6666666666666665
LONGMONT,BABETTES,LONGMONT - BABETTES,FA0005406,4.3,291,25.00,3.0
LONGMONT,BAD DADDY'S BURGER BAR,LONGMONT - BAD DADDY'S BURGER BAR,FA0004848,4.3,906,41.40,5.0
LONGMONT,BASKIN ROBBINS,LONGMONT - BASKIN ROBBINS,FA0002891,4.3,211,10.00,1.0
LONGMONT,BEAU JOS COLORADO STYLE PIZZA,LONGMONT - BEAU JOS COLORADO STYLE PIZZA,FA0000384,4.0,1318,43.33,3.0
LONGMONT,BENNYS TACOS,LONGMONT - BENNYS TACOS,FA0001114,4.6,599,29.71,4.666666666666667
